ChildLaw Domestic Violence Advocacy Training,9/15/2006,x,9/15/2006,x,For more information on Camp Sheila Wellstone Chicago| contact Margaret Carlson at mcarls8@luc.edu or 773-793-0898.,x
Health Law Society 1L Brown Bag Lunch - 1255,9/20/2006,12:00 PM,9/20/2006,1:00 PM,Guest speaker - Phil Pomerance,x
Staying Best Friends - Rubloff Reception Area,10/6/2006,6:00 PM,10/6/2006,7:30 PM,Please RSVP to Father Jerry Overbeck at joverb@luc.edu,x
Intraschool Moot Court Competition - Semi/Final Rounds,1/27/2007,10:00 AM,1/27/2007,12:00 PM,x,x
Employers* Perspective on Fall Interviewing- Lewis Towers Ballroom,8/29/2006,12:00 PM,8/29/2006,1:00 PM,x,x
Health Law Society*s Community Service:  Habitat for Humanity,11/11/2006,9:00 AM,11/11/2006,2:00 PM,x,x
Reception for LL.M. & S.J.D. Students - 14th Floor| Room 1467,10/10/2006,12:00 PM,10/10/2006,2:00 PM,x,x
"Electronic Resources ""Brown Bag Lunch"" for Law Faculty - ""HeinOnline*s Law Journal Library"" Room 1401 ",10/3/2006,1:00 PM,10/3/2006,2:00 PM,x,x
Smart Books - Brown Bag Lunch for Law Faculty - Room 1401,10/10/2006,1:00 PM,10/10/2006,2:00 PM,x,x
BNA U.S. Law Week - Brown Bag Lunch for Law Faculty - Room 1401,10/17/2006,1:00 PM,10/17/2006,2:00 PM,x,x
RA Training (for faculty RAs) Brown Bag Lunch for Law Faculty - Room 1401,10/24/2006,1:00 PM,10/24/2006,2:00 PM,x,x
Institute for Consumer Antitrust Colloquium,4/13/2007,9:00 AM,4/13/2007,5:00 PM,x,x
A Toast to Halloween - 13th Floor Student Lounge,10/31/2006,4:30 PM,10/31/2006,6:00 PM,x,x
Health Law Open House - Suite 1400,9/5/2006,5:00 PM,9/5/2006,6:00 PM,x,x
Health Law Society*s Stem Cell Research Panel Discussion,11/16/2006,5:00 PM,11/16/2006,6:30 PM,x,x
Young Alumni Event - Classes of 1992-2006,9/19/2006,5:30 PM,9/19/2006,7:30 PM,x,x
Honors Scholarship Reception,3/23/2007,6:30 PM,3/23/2007,8:30 PM,x,x
Jury Duty #2- Daley Center,11/18/2006,8:30 AM,11/18/2006,x,x,x
Jury Duty #5 - (tentative) Daley Center,4/28/2007,8:30 AM,4/28/2007,x,x,x
Jury Duty #6- Daley Center,5/30/2007,8:30 AM,5/30/2007,x,x,x
Online OCI Registration Begins,8/18/2006,9:00 AM,8/18/2006,x,x,x
Institute for Consumer Antitrust Studies Colloquium  ,9/29/2006,9:00 AM,9/29/2006,x,x,x
Online OCI schedules available,9/7/2006,12:00 PM,9/7/2006,x,x,x
Intra School Moot Court Competition Information Session - Room 202,11/7/2006,12:00 PM,11/7/2006,x,x,x
Registration Deadline for MPILCC (registration ends at noon)- online,12/8/2006,12:00 PM,12/8/2006,x,x,x
Luncheon Honoring Law Faculty Book Authors,4/10/2007,12:00 PM,4/10/2007,x,x,x
PILS all student meeting - Rm. 110 (25EP),9/12/2006,12:30 PM,9/12/2006,x,x,x
Study Abroad Information Session,9/12/2006,1:00 PM,9/12/2006,x,x,x
Study Abroad Information Session,10/10/2006,1:00 PM,10/10/2006,x,x,x
Study Abroad Information Session,11/7/2006,1:00 PM,11/7/2006,x,x,x
Dr. Robert Briner Lecture - International Commercial Arbitration| Room 202,9/14/2006,3:00 PM,9/14/2006,x,x,x
"ChildLaw Coffee Talk - ""ABA Trafficking in Persons Project in Ecuador"" - 16 E. Pearson",9/20/2006,4:00 PM,9/20/2006,x,x,x
"ChildLaw Coffee Talk - ""Alternatives to Detention:  Lessons from Thailand -16 E. Pearson",9/27/2006,4:00 PM,9/27/2006,x,x,x
"ChildLaw Coffee Talk - ""Representing Children in Asylum Cases"" - 16 E. Pearson",10/4/2006,4:00 PM,10/4/2006,x,x,x
"ChildLaw Coffee Talk - ""Kinship Care"" - 16 E. Pearson",10/18/2006,4:00 PM,10/18/2006,x,x,x
"ChildLaw Coffee Talk - ""Protecting Gay and Lesbian Youth in Illinois Schools"" - 16 E. Pearson",11/1/2006,4:00 PM,11/1/2006,x,x,x
ChildLaw International Internship Panel ,11/8/2006,4:00 PM,11/8/2006,x,x,x
ChildLaw Holiday Child Client Gift Giving Party,11/15/2006,4:00 PM,11/15/2006,x,x,x
Online OCI Registration Deadline (No exceptions),8/28/2006,5:00 PM,8/28/2006,x,x,x
PILS all student meeting - Rm. 110 (25EP),9/13/2006,5:00 PM,9/13/2006,x,x,x
MPILCC registered students may begin selecting employers & uploading resumes after 5pm.- online,12/11/2006,5:00 PM,12/11/2006,x,x,x
Intra School Moot Court Competition Information Session - Room 202,11/7/2006,5:30 PM,11/7/2006,x,x,x
Jury Duty #1- Daley Center,11/16/2006,5:30 PM,11/16/2006,x,x,x
Jury Duty #3- Daley Center,1/13/2007,5:30 PM,1/13/2007,x,x,x
Jury Duty #4 - (tentative) Daley Center,4/26/2007,5:30 PM,4/26/2007,x,x,x
Loyola Law Faculty/Student Basketball  - United Center,2/26/2007,6:45 PM,2/26/2007,x,x,x
Study Abroad Information Session,9/13/2006,9:00 PM,9/13/2006,x,x,x
Summer Term C,7/1/2006,x,7/1/2006,x,x,x
Summer Term C,7/2/2006,x,7/2/2006,x,x,x
Summer Term C,7/3/2006,x,7/3/2006,x,x,x
Summer Term B Begins,7/3/2006,x,7/3/2006,x,x,x
Independence Day Break- No Classes| Offices Closed,7/4/2006,x,7/4/2006,x,x,x
Summer Term C,7/5/2006,x,7/5/2006,x,x,x
Summer Term B,7/5/2006,x,7/5/2006,x,x,x
All M.J. Introduction courses begin,7/6/2006,x,7/6/2006,x,x,x
Summer Term C,7/6/2006,x,7/6/2006,x,x,x
Summer Term B,7/6/2006,x,7/6/2006,x,x,x
Summer Term B,7/7/2006,x,7/7/2006,x,x,x
Summer Term C,7/7/2006,x,7/7/2006,x,x,x
Summer Term B,7/8/2006,x,7/8/2006,x,x,x
Summer Term C,7/8/2006,x,7/8/2006,x,x,x
Summer Term C,7/9/2006,x,7/9/2006,x,x,x
Summer Term B,7/9/2006,x,7/9/2006,x,x,x
Summer Term B,7/10/2006,x,7/10/2006,x,x,x
Summer Term C,7/10/2006,x,7/10/2006,x,x,x
Summer Term B,7/11/2006,x,7/11/2006,x,x,x
Summer Term C,7/11/2006,x,7/11/2006,x,x,x
Summer Term C,7/12/2006,x,7/12/2006,x,x,x
Summer Term B,7/12/2006,x,7/12/2006,x,x,x
Final Examinations (Strasbourg Program),7/13/2006,x,7/13/2006,x,x,x
Summer Term B,7/13/2006,x,7/13/2006,x,x,x
Summer Term C,7/13/2006,x,7/13/2006,x,x,x
Summer Term C,7/14/2006,x,7/14/2006,x,x,x
Summer Term B,7/14/2006,x,7/14/2006,x,x,x
Summer Term C,7/15/2006,x,7/15/2006,x,x,x
Summer Term B,7/15/2006,x,7/15/2006,x,x,x
Summer Term B,7/16/2006,x,7/16/2006,x,x,x
Summer Term C,7/16/2006,x,7/16/2006,x,x,x
Summer Term C,7/17/2006,x,7/17/2006,x,x,x
Summer Term B,7/17/2006,x,7/17/2006,x,x,x
Summer Term B,7/18/2006,x,7/18/2006,x,x,x
Summer Term C,7/18/2006,x,7/18/2006,x,x,x
Summer Term C,7/19/2006,x,7/19/2006,x,x,x
Summer Term B,7/19/2006,x,7/19/2006,x,x,x
Summer Term B,7/20/2006,x,7/20/2006,x,x,x
Summer Term C,7/20/2006,x,7/20/2006,x,x,x
Summer Term C,7/21/2006,x,7/21/2006,x,x,x
Summer Term B,7/21/2006,x,7/21/2006,x,x,x
Summer Term B,7/22/2006,x,7/22/2006,x,x,x
Summer Term C,7/22/2006,x,7/22/2006,x,x,x
Summer Term B,7/23/2006,x,7/23/2006,x,x,x
Summer Term C,7/23/2006,x,7/23/2006,x,x,x
Summer Term C,7/24/2006,x,7/24/2006,x,x,x
Summer Term B,7/24/2006,x,7/24/2006,x,x,x
Summer Term C,7/25/2006,x,7/25/2006,x,x,x
Summer Term B,7/25/2006,x,7/25/2006,x,x,x
Summer Term B,7/26/2006,x,7/26/2006,x,x,x
Summer Term C,7/26/2006,x,7/26/2006,x,x,x
Summer Term C,7/27/2006,x,7/27/2006,x,x,x
Summer Term B,7/27/2006,x,7/27/2006,x,x,x
Lockers and student mail folders must be cleared out,7/27/2006,x,7/27/2006,x,x,x
Summer Term C,7/28/2006,x,7/28/2006,x,x,x
Summer Term B,7/28/2006,x,7/28/2006,x,x,x
Final Examinations (Europe/Oxford Program),7/28/2006,x,7/28/2006,x,x,x
Summer Term B,7/29/2006,x,7/29/2006,x,x,x
Summer Term B,7/30/2006,x,7/30/2006,x,x,x
Summer Term B,7/31/2006,x,7/31/2006,x,x,x
Summer Term B,8/1/2006,x,8/1/2006,x,x,x
Summer Term B,8/2/2006,x,8/2/2006,x,x,x
PATENT LAW INTERVIEW PROGRAM,8/3/2006,x,8/3/2006,x,x,x
Summer Term B,8/3/2006,x,8/3/2006,x,x,x
PATENT LAW INTERVIEW PROGRAM,8/4/2006,x,8/4/2006,x,x,x
Summer Term B,8/4/2006,x,8/4/2006,x,x,x
Summer Term B,8/5/2006,x,8/5/2006,x,x,x
Summer Term B,8/6/2006,x,8/6/2006,x,x,x
Summer Term B,8/7/2006,x,8/7/2006,x,x,x
Summer Term B,8/8/2006,x,8/8/2006,x,x,x
Summer Term B,8/9/2006,x,8/9/2006,x,x,x
Summer Term B,8/10/2006,x,8/10/2006,x,x,x
Examination for M.J. Introduction course in Health Law,8/10/2006,x,8/10/2006,x,x,x
Examination for M.J. Introduction courses in Business Law,8/10/2006,x,8/10/2006,x,x,x
Examination for M.J. Introduction course in ChildLaw,8/10/2006,x,8/10/2006,x,x,x
Summer Term B,8/11/2006,x,8/11/2006,x,x,x
Cook County Bar Association Minority Student Job Fair- Embassy Suites Hotel|Chicago,8/11/2006,x,8/11/2006,x,x,x
Orientation-1st yr. Full-time and Part-time students,8/14/2006,x,8/14/2006,x,x,x
Summer Institute on Aging:  Long Term Care Issues,8/14/2006,x,8/14/2006,x,x,x
ORIENTATION/FUNDAMENTALS,8/14/2006,x,8/14/2006,x,x,x
Orientation-1st yr. Full-time and Part-time students ,8/15/2006,x,8/15/2006,x,x,x
Summer Institute on Aging:  Long Term Care Issues,8/15/2006,x,8/15/2006,x,x,x
Summer Institute on Aging:  Long Term Care Issues,8/16/2006,x,8/16/2006,x,x,x
Orientation-1st yr. Full-time and Part-time students ,8/16/2006,x,8/16/2006,x,x,x
Orientation-1st yr. Full-time and Part-time students ,8/17/2006,x,8/17/2006,x,x,x
Locker re-assignments,8/17/2006,x,8/17/2006,x,x,x
Summer Institute on Aging:  Long Term Care Issues,8/17/2006,x,8/17/2006,x,x,x
Orientation-1st yr. Full-time and Part-time students ,8/18/2006,x,8/18/2006,x,x,x
"LATE REGISTRATION/CHANGE OF REGISTRATION- Only days to adda class & to withdraw from a class with ""EC"" (Erase Course)",8/19/2006,x,8/19/2006,x,x,x
Frist day of all 1L and Upper-Level Classes (Saturday classes) Locker assignments,8/19/2006,x,8/19/2006,x,x,x
"LATE REGISTRATION/CHANGE OF REGISTRATION- Only days to adda class & to withdraw from a class with ""EC"" (Erase Course) ",8/20/2006,x,8/20/2006,x,x,x
"LATE REGISTRATION/CHANGE OF REGISTRATION- Only days to adda class & to withdraw from a class with ""EC"" (Erase Course) ",8/21/2006,x,8/21/2006,x,x,x
"LATE REGISTRATION/CHANGE OF REGISTRATION- Only days to adda class & to withdraw from a class with ""EC"" (Erase Course) ",8/22/2006,x,8/22/2006,x,x,x
"LATE REGISTRATION/CHANGE OF REGISTRATION- Only days to adda class & to withdraw from a class with ""EC"" (Erase Course) ",8/23/2006,x,8/23/2006,x,x,x
"LATE REGISTRATION/CHANGE OF REGISTRATION- Only days to adda class & to withdraw from a class with ""EC"" (Erase Course) ",8/24/2006,x,8/24/2006,x,x,x
"LATE REGISTRATION/CHANGE OF REGISTRATION- Only days to adda class & to withdraw from a class with ""EC"" (Erase Course) ",8/25/2006,x,8/25/2006,x,x,x
LABOR DAY - No Classes,9/4/2006,x,9/4/2006,x,x,x
National Lesbian and Gay Law Association Lavender Law Career Fair and Conference- Washington|DC,9/7/2006,x,9/7/2006,x,x,x
National Lesbian and Gay Law Association Lavender Law Career Fair and Conference- Washington|DC ,9/8/2006,x,9/8/2006,x,x,x
Minnesota Minority Recruitment Conference - Minneapolis|MN,9/8/2006,x,9/8/2006,x,x,x
National Lesbian and Gay Law Association Lavender Law Career Fair and Conference- Washington|DC ,9/9/2006,x,9/9/2006,x,x,x
LAW ALUMNI REUNION & AWARDS DINNER - Westin River-North,9/9/2006,x,9/9/2006,x,x,x
Minnesota Minority Recruitment Conference - Minneapolis|MN ,9/9/2006,x,9/9/2006,x,x,x
Big Sib/Little Sib Event-  Rock Bottom Brewery,9/9/2006,x,9/9/2006,x,x,x
OCI begins,9/11/2006,x,9/11/2006,x,x,x
IMPACT Career Fair- Washington| DC,9/11/2006,x,9/11/2006,x,x,x
"Last day to withdraw from a class with agrade of ""W"" (Withdrawal Passing)",9/15/2006,x,9/15/2006,x,x,x
ChildLaw Domestic Violence Advocacy Training,9/16/2006,x,9/16/2006,x,x,x
Prospective May 2007 graduates file for graduation,9/25/2006,x,9/25/2006,x,x,x
Prospective May 2007 graduates file for graduation ,9/26/2006,x,9/26/2006,x,x,x
Prospective May 2007 graduates file for graduation ,9/27/2006,x,9/27/2006,x,x,x
Prospective May 2007 graduates file for graduation ,9/28/2006,x,9/28/2006,x,x,x
Prospective May 2007 graduates file for graduation ,9/29/2006,x,9/29/2006,x,x,x
Prospective May 2007 graduates file for graduation ,9/30/2006,x,9/30/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/1/2006,x,10/1/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/2/2006,x,10/2/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/3/2006,x,10/3/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/4/2006,x,10/4/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/5/2006,x,10/5/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/6/2006,x,10/6/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/7/2006,x,10/7/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/8/2006,x,10/8/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/9/2006,x,10/9/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/10/2006,x,10/10/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/11/2006,x,10/11/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/12/2006,x,10/12/2006,x,x,x
First Day of All Other 1L and Upper-Level Classes,8/21/2006,x,8/21/2006,x,x,x
8th Annual National Law Students*Workers* Rights Conference- Silver Spring| MN,10/13/2006,x,10/13/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/13/2006,x,10/13/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/14/2006,x,10/14/2006,x,x,x
8th Annual National Law Students*Workers* Rights Conference- Silver Spring| MN ,10/14/2006,x,10/14/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/15/2006,x,10/15/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/16/2006,x,10/16/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/17/2006,x,10/17/2006,x,x,x
Equal Justice Works Conference and Job Fair- Washington| DC,10/18/2006,x,10/18/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/18/2006,x,10/18/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/19/2006,x,10/19/2006,x,x,x
Equal Justice Works Conference and Job Fair- Washington| DC,10/19/2006,x,10/19/2006,x,x,x
Equal Justice Works Conference and Job Fair- Washington| DC,10/20/2006,x,10/20/2006,x,x,x
Prospective May 2007 graduates file for graduation ,10/20/2006,x,10/20/2006,x,x,x
Equal Justice Works Conference and Job Fair- Washington| DC ,10/21/2006,x,10/21/2006,x,x,x
OCI Ends,11/3/2006,x,11/3/2006,x,x,x
HUNGER WEEK,11/5/2006,x,11/5/2006,x,x,x
HUNGER WEEK,11/6/2006,x,11/6/2006,x,x,x
HUNGER WEEK,11/7/2006,x,11/7/2006,x,x,x
HUNGER WEEK,11/8/2006,x,11/8/2006,x,x,x
Spring Semester Registration,11/8/2006,x,11/8/2006,x,x,x
Spring Semester Registration,11/9/2006,x,11/9/2006,x,x,x
HUNGER WEEK,11/9/2006,x,11/9/2006,x,x,x
HUNGER WEEK,11/10/2006,x,11/10/2006,x,x,x
HUNGER WEEK,11/11/2006,x,11/11/2006,x,x,x
ABA Negotiations Competition - Midwest Regionals,11/11/2006,x,11/11/2006,x,x,x
ABA Negotiations Competition - Midwest Regionals,11/12/2006,x,11/12/2006,x,x,x
HUNGER WEEK,11/12/2006,x,11/12/2006,x,x,x
Last Saturday Class,11/18/2006,x,11/18/2006,x,x,x
Last Tuesday Class,11/21/2006,x,11/21/2006,x,x,x
THANKSGIVING BREAK - NO CLASSES,11/22/2006,x,11/22/2006,x,x,x
THANKSGIVING BREAK - NO CLASSES,11/23/2006,x,11/23/2006,x,x,x
THANKSGIVING BREAK - NO CLASSES,11/24/2006,x,11/24/2006,x,x,x
THANKSGIVING BREAK - NO CLASSES,11/25/2006,x,11/25/2006,x,x,x
Last Monday Class,11/27/2006,x,11/27/2006,x,x,x
Make-up day for September (Labor Day-Monday classes),11/27/2006,x,11/27/2006,x,x,x
Study/Make-up Day,11/28/2006,x,11/28/2006,x,x,x
Last Wednesday Class,11/29/2006,x,11/29/2006,x,x,x
Make-up day for November 23 (Thanksgiving-Wednesday classes),11/29/2006,x,11/29/2006,x,x,x
Last Thursday Class,11/30/2006,x,11/30/2006,x,x,x
Make-up day for November 24 (Thanksgiving-Thursday classes),11/30/2006,x,11/30/2006,x,x,x
Last Friday Class ,12/1/2006,x,12/1/2006,x,x,x
Make-up day for November 25 (Thanksgiving-Friday classes),12/1/2006,x,12/1/2006,x,x,x
Make-up and supplemental classes,12/2/2006,x,12/2/2006,x,x,x
Make-up and supplemental classes ,12/3/2006,x,12/3/2006,x,x,x
EXAMS BEGIN,12/4/2006,x,12/4/2006,x,x,x
EXAMS END,12/16/2006,x,12/16/2006,x,x,x
HOLIDAY - OFFICES CLOSED,12/22/2006,x,12/22/2006,x,x,x
HOLIDAY - OFFICES CLOSED,12/25/2006,x,12/25/2006,x,x,x
HOLIDAY - OFFICES CLOSED,12/26/2006,x,12/26/2006,x,x,x
London Comparative Advocacy Program Begins (tentative),12/27/2006,x,12/27/2006,x,x,x
London Comparative Advocacy Program,12/28/2006,x,12/28/2006,x,x,x
London Comparative Advocacy Program,12/29/2006,x,12/29/2006,x,x,x
London Comparative Advocacy Program,12/30/2006,x,12/30/2006,x,x,x
London Comparative Advocacy Program,12/31/2006,x,12/31/2006,x,x,x
London Comparative Advocacy Program,1/1/2007,x,1/1/2007,x,x,x
HOLIDAY - OFFICES CLOSED,1/1/2007,x,1/1/2007,x,x,x
HOLIDAY - OFFICES CLOSED,1/2/2007,x,1/2/2007,x,x,x
London Comparative Advocacy Program,1/2/2007,x,1/2/2007,x,x,x
London Comparative Advocacy Program,1/3/2007,x,1/3/2007,x,x,x
London Comparative Advocacy Program,1/4/2007,x,1/4/2007,x,x,x
London Comparative Advocacy Program,1/5/2007,x,1/5/2007,x,x,x
London Comparative Advocacy Program,1/6/2007,x,1/6/2007,x,x,x
London Comparative Advocacy Program,1/7/2007,x,1/7/2007,x,x,x
London Comparative Advocacy Program,1/8/2007,x,1/8/2007,x,x,x
London Comparative Advocacy Program,1/9/2007,x,1/9/2007,x,x,x
London Comparative Advocacy Program,1/10/2007,x,1/10/2007,x,x,x
London Comparative Advocacy Program,1/11/2007,x,1/11/2007,x,x,x
First Saturday Classes,1/13/2007,x,1/13/2007,x,x,x
Martin Luther King Day- NO CLASSES,1/15/2007,x,1/15/2007,x,x,x
First Class Day,1/16/2007,x,1/16/2007,x,x,x
Intellectual Property Day ,2/7/2007,x,2/7/2007,x,x,x
Dean*s Town Hall-  1pm and 5:30pm,2/27/2007,x,2/27/2007,x,x,x
Spring Break,3/4/2007,x,3/4/2007,x,x,x
Spring Break,3/5/2007,x,3/5/2007,x,x,x
Spring Break,3/6/2007,x,3/6/2007,x,x,x
Spring Break,3/7/2007,x,3/7/2007,x,x,x
Spring Break,3/8/2007,x,3/8/2007,x,x,x
Spring Break,3/9/2007,x,3/9/2007,x,x,x
Spring Break,3/10/2007,x,3/10/2007,x,x,x
Review Day,4/5/2007,x,4/5/2007,x,x,x
Good Friday,4/6/2007,x,4/6/2007,x,x,x
No Saturday Class,4/7/2007,x,4/7/2007,x,x,x
No Saturday Class,4/7/2007,x,4/7/2007,x,x,x
Center for Catholic Healthcare and Sponsorship Conference - Sheraton Hotel| O*Hare,4/18/2007,x,4/18/2007,x,x,x
Last Tuesday,4/24/2007,x,4/24/2007,x,x,x
Last Wednesday ,4/25/2007,x,4/25/2007,x,x,x
Last Saturday,4/28/2007,x,4/28/2007,x,x,x
Last Monday,4/30/2007,x,4/30/2007,x,x,x
Study Day/Make-Up Day,5/1/2007,x,5/1/2007,x,x,x
Study Day /Make-Up Day,5/2/2007,x,5/2/2007,x,x,x
Last Thursday,5/3/2007,x,5/3/2007,x,x,x
Last Friday,5/4/2007,x,5/4/2007,x,x,x
Exams Begin,5/7/2007,x,5/7/2007,x,x,x
Exams End,5/18/2007,x,5/18/2007,x,x,x
Graduation (tentative),5/19/2007,x,5/19/2007,x,x,x
Summer Classes Begin- (tentative),5/28/2007,x,5/28/2007,x,x,x
Summer Program Abroad in Rome Begins - (tentative),5/28/2007,x,5/28/2007,x,x,x
